,Make,Model,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Total.Passengers
6136,SASSER ALLEN L,SEAREY,0.0,0.0,0.0,1.0,1.0
6137,SATER,COOTA-AMPHIB,1.0,0.0,0.0,0.0,1.0
6138,SAUER,KR-2S,0.0,1.0,0.0,0.0,1.0
6139,SAUNDERS,STILETTO,0.0,0.0,1.0,1.0,2.0
6140,SAVAGE,RV-8,0.0,0.0,1.0,0.0,1.0
6141,SAVAGE,SAVAGE-COZY,0.0,0.0,1.0,0.0,1.0
6142,SAVAGE,SKYBOLT,1.0,1.0,0.0,0.0,2.0
6143,SAVAGE AIR LLC,EPICLT,0.0,0.0,0.0,4.0,4.0
6144,SAVILLE HUMMER,FALCONAA-1A,0.0,0.0,0.0,1.0,1.0
6145,SAWBY SCOTT,RV-6A,0.0,0.0,1.0,1.0,2.0
6146,SAWYER,SKYBOLT,0.0,0.0,0.0,2.0,2.0
6147,SC AEROSTAR SA,YAK52W,0.0,0.0,0.0,2.0,2.0
6148,SC IAR SA BRASOV,IAR825,0.0,0.0,0.0,1.0,1.0
6149,SCHABACKER KONRAD J,ACROSPORTII,0.0,0.0,0.0,2.0,2.0
6150,SCHAEFER,KITFOX4,0.0,0.0,1.0,0.0,1.0
6151,SCHAFER,STARDUSTERSA-300,0.0,1.0,0.0,0.0,1.0
6152,SCHAFER RICK W,FOXTROT4,2.0,1.0,1.0,0.0,4.0
6153,SCHAFFER,FISHERHORIZON2,1.0,0.0,0.0,0.0,1.0
6154,SCHAFFER GARY W,LANCAIR,1.0,0.0,0.0,0.0,1.0
6155,SCHAUER WILLIAM A JR,STARDUSTERTOOSA300,0.0,0.0,0.0,2.0,2.0
6156,SCHEEL STANLEY K,KITFOX-SERIES7,0.0,0.0,0.0,1.0,1.0
6157,SCHEINEMAN-VAN BUREN,T18,0.0,0.0,2.0,0.0,2.0
6158,SCHENDL,MUSTANGII,1.0,0.0,0.0,0.0,1.0
6159,SCHLICHTMAN,STOLCH750,0.0,0.0,0.0,2.0,2.0
6160,SCHMIDT,RV7A,0.0,0.0,0.0,1.0,1.0
6161,SCHMIDT ALBERT D,AVENTURAII,2.0,0.0,0.0,0.0,2.0
6162,SCHMIDT DONALD L,GS1GLASTAR,0.0,1.0,0.0,0.0,1.0
6163,SCHMIDT RANDALL M,BUSHBYMUSTANGII,0.0,0.0,1.0,0.0,1.0
6164,SCHMITT,JUSTACFTHIGHLANDER,0.0,0.0,0.0,2.0,2.0
6165,SCHNEIDER,CHRISTENEAGLEII,2.0,0.0,0.0,0.0,2.0
6166,SCHNEIDER JOHN W,PT-2A,0.0,0.0,0.0,1.0,1.0
6167,SCHNEIDER K/COOK C,SCSKYBOLT,0.0,0.0,0.0,2.0,2.0
6168,SCHNEIDER RICHARD J,ALASKANBUSHMASTER,0.0,0.0,0.0,1.0,1.0
6169,SCHOEPFLIN,DA-4-550,1.0,0.0,0.0,0.0,1.0
6170,SCHOOLEY,SONEX,0.0,0.0,0.0,1.0,1.0
6171,SCHOONOVER JOHN D,KITFOXIV1200,1.0,0.0,0.0,0.0,1.0
6172,SCHOSANSKI JOHN H,COZYMKIVR,0.0,0.0,0.0,1.0,1.0
6173,SCHRIEBER ROBERT L,P70,2.0,0.0,0.0,0.0,2.0
6174,SCHRODER DAVID,LANCAIRIVP,0.0,0.0,0.0,2.0,2.0
6175,SCHROEDER,WICHAWK,0.0,0.0,0.0,1.0,1.0
6176,SCHUCHART,STODDARDHAMILTONSH3,1.0,0.0,0.0,0.0,1.0
6177,SCHULKE,AVIDMAGNUM,0.0,0.0,0.0,1.0,1.0
6178,SCHUMACHER,CHALLENGERII,0.0,0.0,0.0,2.0,2.0
6179,SCHUMACHER,LANCAIRSUPERES,3.0,0.0,0.0,0.0,3.0
6180,SCHUPP EDWARD W,SKYRANGERII,0.0,0.0,0.0,2.0,2.0
6181,SCHWEIZER,G-164A,0.0,0.0,0.0,1.0,1.0
6182,SCHWEIZER,G-164B,0.0,0.0,2.0,8.0,10.0
6183,SCHWEIZER AIRCRAFT CORP,164B,0.0,1.0,0.0,0.0,1.0
6184,SCHWEIZER AIRCRAFT CORP,G-164B,0.0,1.0,1.0,9.0,11.0
6185,SCHWEIZER AIRCRAFT CORP,G-164D,0.0,1.0,0.0,0.0,1.0
6186,SCHWEIZER AIRCRAFT CORP,G164,0.0,0.0,0.0,1.0,1.0
6187,SCHWEIZER AIRCRAFT CORP,G164B,2.0,1.0,0.0,3.0,6.0
6188,"SCHWEIZER, N36289",G-164B,0.0,0.0,1.0,0.0,1.0
6189,SCODA AERONAUTICA LTDA,SUPERPETRELLS,1.0,0.0,0.0,0.0,1.0
6190,SCODA AERONAUTICAL,SUPERPETREL,0.0,0.0,0.0,2.0,2.0
6191,SCOTT,IRONSIDES,0.0,1.0,0.0,0.0,1.0
6192,SCOTT MILLS,CCX-2000,0.0,0.0,0.0,2.0,2.0
6193,SCOTT TERRY G,SEAREYLSX,0.0,0.0,0.0,1.0,1.0
6194,SCOTTISH,BULLDOG120,0.0,0.0,0.0,1.0,1.0
6195,SCOTTISH AVIATION,BULLDOG-120121,0.0,0.0,0.0,1.0,1.0
6196,SCOTTISH AVIATION,BULLDOG120,0.0,0.0,0.0,2.0,2.0
6197,SCOTTISH AVIATION,SERIES100MDL101,0.0,2.0,0.0,4.0,6.0
6198,SEA & AIR SALES,SEAREY,0.0,0.0,2.0,0.0,2.0
6199,SEA & SKY INC DBA KRUCKER ACFT,CYGNET,0.0,0.0,1.0,0.0,1.0
6200,SEABOURN SCOTT R,CCK-2000,0.0,0.0,0.0,2.0,2.0
6201,SEAMAX AIRCRAFT,M-22,1.0,0.0,0.0,0.0,1.0
6202,SEELA GERALD L,GLASAIRSH2F,0.0,0.0,0.0,1.0,1.0
6203,SEELE,XPA-18,0.0,0.0,0.0,2.0,2.0
6204,SEGARRA LUCAS JR,ZENITHSTOLL701,0.0,0.0,0.0,1.0,1.0
6205,SEGUIN,QUICKIE,0.0,1.0,0.0,0.0,1.0
6206,SEGUINE,SWIFTII,0.0,1.0,1.0,0.0,2.0
6207,SEHER,BEARHAWK,0.0,0.0,0.0,1.0,1.0
6208,SEIBERT ROBERT M,SEIBERTRV-6,0.0,0.0,2.0,0.0,2.0
6209,SELBY DEAN,KR-2-SS,0.0,0.0,0.0,1.0,1.0
6210,SENFT/ANDERSON/SALMON,C-5,0.0,0.0,1.0,0.0,1.0
6211,SENIOR AERO SPORT,D-260,0.0,0.0,0.0,1.0,1.0
6212,SENO LOUIS C SR,KIS,0.0,0.0,0.0,2.0,2.0
6213,SEWELL WILLIAM K,ZODIAC601,0.0,0.0,0.0,1.0,1.0
6214,SEYMOUR,SKYRANGER,0.0,1.0,0.0,0.0,1.0
6215,SHAFFER,KR-2,0.0,0.0,0.0,1.0,1.0
6216,SHAFFER DONALD,ARIONLIGHTNING,0.0,1.0,0.0,0.0,1.0
6217,SHAFFER WILLIAM C,QUICKSILVERMXIISP,0.0,0.0,0.0,1.0,1.0
6218,SHAFFSTALL,KOLBFIRESTARII,0.0,0.0,1.0,0.0,1.0
6219,SHANKS V ROGER,VARIEZE,0.0,0.0,0.0,2.0,2.0
6220,SHANNON,LANCAIRLEGACY2000,0.0,0.0,0.0,1.0,1.0
6221,SHANNON JAMES A JR,AVIATEAGLEII,1.0,0.0,0.0,0.0,1.0
6222,SHANNON KEVIN,RV-8,1.0,0.0,0.0,0.0,1.0
6223,SHANNON WILLIAM,RV6A,0.0,1.0,0.0,0.0,1.0
6224,SHARP RALPH R,ZENITHSTOLCH701,0.0,0.0,0.0,1.0,1.0
6225,SHARPE WILLIAM L,BUCCANEERIIB,1.0,0.0,0.0,0.0,1.0
6226,SHAW,FISHERFP404,0.0,0.0,1.0,0.0,1.0
6227,SHAW DOUGLAS WAYNE,RANSS7,1.0,0.0,0.0,0.0,1.0
6228,SHEA,PITTSSPECIALS-1C,0.0,0.0,0.0,1.0,1.0
6229,SHEAHEN DANE E,RV-8,2.0,0.0,0.0,0.0,2.0
6230,SHELDRICK JOHN H,RV-6,0.0,0.0,0.0,1.0,1.0
6231,SHELL JOHN,SUPERSIX,0.0,0.0,1.0,0.0,1.0
6232,SHELTON JOSEPH G,S-7,0.0,0.0,0.0,2.0,2.0
6233,SHEPARD JIMMY D JR,PITTSS1D,1.0,0.0,0.0,0.0,1.0
6234,SHERMAN CRAIG W,GLASAIRIII,0.0,0.0,0.0,1.0,1.0
6235,"SHERMAN JOHN, H",NIEUPORTII,0.0,0.0,1.0,0.0,1.0
6236,SHILT JERRY C,F-1ROCKET,0.0,0.0,0.0,2.0,2.0
6237,SHINER,RV-4,0.0,0.0,0.0,2.0,2.0
6238,SHIREY DAVID A,FISHERCELEBRITY,0.0,0.0,0.0,1.0,1.0
6239,SHIVER,TAILWINDW-10,0.0,0.0,0.0,2.0,2.0
6240,SHNIDERMAN ERVIN STANLEY,LONG-EZ,0.0,0.0,0.0,1.0,1.0
6241,SHOEMAKER JAMES B,KR-2,0.0,0.0,1.0,0.0,1.0
6242,SHOOK,RANSS-12,0.0,0.0,0.0,2.0,2.0
6243,SHOREY TIMOTHY A,PRECEPTORSTOLKING,0.0,0.0,0.0,1.0,1.0
6244,SHORT,SC7,2.0,0.0,0.0,0.0,2.0
6245,SHORT BROS,SD-360-300,0.0,0.0,0.0,2.0,2.0
6246,SHORT BROS,SD3-60,0.0,0.0,0.0,2.0,2.0
6247,SHORT BROS,SD360,0.0,0.0,0.0,2.0,2.0
6248,SHORT BROS,SD360-300,0.0,0.0,0.0,1.0,1.0
6249,SHORT BROS,SD360SHERPA,0.0,0.0,0.0,2.0,2.0
6250,SHORT BROS,SHORTSSD3-60,0.0,0.0,0.0,2.0,2.0
6251,SHORT BROS,SHORTSSD360,2.0,0.0,0.0,0.0,2.0
6252,SHORT BROS.,SC7SERIES3,0.0,0.0,1.0,2.0,3.0
6253,SHORT BROS. & HARLAND,SC7SERIES,0.0,0.0,0.0,1.0,1.0
6254,SHORT BROS. & HARLAND,SC7SERIES3,0.0,0.0,0.0,1.0,1.0
6255,SHORT BROS. & HARLAND,SD330,2.0,0.0,0.0,0.0,2.0
6256,SHORT BROS. & HARLAND,SHORTSSC7SKYVAN,0.0,0.0,0.0,2.0,2.0
6257,SHORT BROTHERS,SD3-30,1.0,0.0,0.0,29.0,30.0
6258,SHORT BROTHERS,SD3-60,0.0,2.0,0.0,339.0,341.0
6260,SHORT BROTHERS PLC,S312TUCANOTMK1,1.0,0.0,0.0,0.0,1.0
6261,SHOUP RONALD R,RV-6A,0.0,1.0,0.0,0.0,1.0
6262,SHPAKOW THOMAS,SA750,0.0,0.0,0.0,2.0,2.0
6263,SHULTZ JEFFREY D,SONEX,0.0,0.0,0.0,1.0,1.0
6264,SIAI MARCHETTI,F.260,0.0,4.0,0.0,0.0,4.0
6265,SIAI MARCHETTI,S.205-22/R,0.0,0.0,2.0,0.0,2.0
